tag,dataset,hr,ndcg,best_round,actual,false_ratio,trusted
V3_BEST_mha_both,100k,0.5175,0.3246,20,25,0.368,457.6
A2_mha2_len5,100k,0.5133,0.3141,18,20,0.363,470.1
A0_no_attn_len5,100k,0.5069,0.2963,19,20,0.371,487.6
A2_mha4_len10,100k,0.5058,0.3125,19,20,0.404,448.8
I3_both,100k,0.4899,0.2684,19,20,0.391,447.2
A1_single_len5,100k,0.4655,0.2544,18,20,0.449,417.7
I1_user_emb,100k,0.4655,0.2544,18,20,0.449,417.7
I2_fc_layer,100k,0.4602,0.2667,19,20,0.338,486.2
A2_mha8_len20,100k,0.4496,0.2591,19,20,0.424,441.4
I4_fc_union,100k,0.4496,0.2407,19,20,0.402,476.1
A2_mha4_len20,100k,0.4454,0.2582,19,20,0.447,422.1
M1_sim_union,ml-1m,0.4351,0.2370,14,15,0.559,2113.1
M1_sim_no_graph,ml-1m,0.4238,0.2305,14,15,0.000,0.0
M1_int_dp_0.01,ml-1m,0.4217,0.2281,14,15,0.571,2044.8
M1_sim_intersection,ml-1m,0.4177,0.2239,14,15,0.574,2030.6
M1_item_only,ml-1m,0.4081,0.2199,14,15,0.000,0.0
A1_single_len10,100k,0.4040,0.2152,19,20,0.541,348.0
A1_single_len20,100k,0.3446,0.1662,17,20,0.607,296.6
